title,url
Hidden dependencies in Linux binaries,http://thelittleengineerthatcould.blogspot.com/2024/04/hidden-dependencies-in-linux-binaries.html
Obituary for a quiet life (2023),https://bittersoutherner.com/feature/2023/obituary-for-a-quiet-life
"Show HN: I built Stack, the open-source Clerk/Firebase Auth alternative",https://stack-auth.com/blog/introducing-stack
The One Billion Row Challenge in CUDA,https://tspeterkim.github.io/posts/cuda-1brc
Interview with Senior JavaScript Developer 2024 [video],https://www.youtube.com/watch?v=aWfYxg-Ypm4
Algae that can fix nitrogen â€“ thanks to a tiny cell structure,https://www.nature.com/articles/d41586-024-01046-z
Getting into way too much detail with the Z80 netlist simulation (2021),https://floooh.github.io/2021/12/06/z80-instruction-timing.html#table-of-content
Redis Re-Implemented with SQLite,https://github.com/nalgeon/redka
The Guide to Stock Options Conversations,https://zaidesanton.substack.com/p/the-guide-to-stock-options-conversations
When Nostalgia Was Deadly,https://www.historytoday.com/archive/history-matters/when-nostalgia-was-deadly
